sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
M,0,,0,August,5-11,3408,2019
M,0,,0,September,5-11,3276,2019
M,0,,0,October,5-11,3394,2019
M,0,,0,November,5-11,3145,2019
M,0,,0,April,60-69,4717,2021
M,0,,0,May,60-69,3332,2021
M,1,pfizer,0,May,60-69,750,2021
M,1,pfizer,0,June,60-69,1644,2021
M,2,pfizer,0,June,60-69,678,2021
F,0,,1,March,25-29,45,2021
F,0,,1,April,25-29,41,2021
F,0,,1,May,25-29,31,2021
F,0,,1,June,25-29,30,2021
F,0,,0,June,30-39,4492,2020
F,0,,0,July,30-39,4671,2020
F,0,,0,August,30-39,4682,2020
F,0,,0,September,30-39,4537,2020
F,0,,0,October,30-39,4697,2020
F,0,,0,November,30-39,4493,2020
F,0,,0,December,30-39,4620,2020
F,0,,0,January,30-39,4443,2021
F,0,,0,February,30-39,3830,2021
F,0,,0,March,30-39,3982,2021
F,0,,0,April,30-39,3769,2021
F,0,,0,May,30-39,3757,2021
F,0,,0,June,30-39,3046,2021
M,1,pfizer,0,January,30-39,62,2021
M,2,pfizer,0,January,30-39,8,2021
M,2,pfizer,0,February,30-39,56,2021
M,2,pfizer,0,March,30-39,86,2021
M,1,pfizer,0,January,70-79,32,2021
M,1,pfizer,0,February,70-79,21,2021
M,2,pfizer,0,February,70-79,46,2021
M,2,pfizer,0,March,70-79,83,2021
M,2,pfizer,0,April,70-79,90,2021
M,2,pfizer,0,May,70-79,321,2021
M,2,pfizer,0,June,70-79,777,2021
M,0,,0,October,18-24,2868,2019
M,0,,0,November,18-24,2779,2019
M,0,,0,December,18-24,2866,2019
M,0,,0,January,18-24,2776,2020
M,1,moderna,0,June,25-29,41,2021
F,0,,0,June,60-69,1634,2021
M,0,,0,February,80+,2885,2021
M,0,,0,March,80+,2647,2021
M,1,pfizer,0,March,80+,565,2021
M,1,pfizer,0,April,80+,1444,2021
M,0,,0,January,12-17,2575,2019
M,0,,0,February,12-17,2324,2019
M,0,,0,March,12-17,2605,2019
M,0,,0,April,12-17,2591,2019
M,0,,0,May,12-17,2694,2019
M,0,,0,June,12-17,2664,2019
M,0,,0,July,12-17,2737,2019
M,0,,0,August,12-17,2735,2019
M,0,,0,September,12-17,2649,2019
M,0,,0,October,12-17,2691,2019
M,0,,0,November,12-17,2686,2019
M,0,,0,December,12-17,2840,2019
M,0,,0,January,12-17,2901,2020
M,0,,0,February,12-17,2784,2020
M,0,,0,March,12-17,2929,2020
M,0,,0,April,12-17,2791,2020
M,0,,0,May,12-17,2769,2020
M,0,,0,June,12-17,2611,2020
M,0,,0,July,12-17,2685,2020
M,0,,0,August,12-17,2680,2020
M,0,,0,September,12-17,2614,2020
M,0,,0,October,12-17,2689,2020
M,0,,0,November,12-17,2600,2020
M,0,,0,December,12-17,2640,2020
M,0,,0,January,12-17,2617,2021
M,0,,0,January,18-24,2588,2021
M,0,,0,February,18-24,2198,2021
M,0,,0,March,18-24,2393,2021
M,0,,0,April,18-24,2272,2021
M,0,,0,May,18-24,2307,2021
M,0,,0,June,18-24,1991,2021
M,1,pfizer,0,June,18-24,176,2021
F,1,pfizer,0,May,70-79,858,2021
F,1,pfizer,0,June,70-79,959,2021
F,0,,0,March,0-4,1361,2019
F,0,,0,April,0-4,1389,2019
F,0,,0,May,0-4,1445,2019
F,0,,0,June,0-4,1360,2019
F,0,,0,July,0-4,1474,2019
F,0,,0,August,0-4,1512,2019
F,0,,0,September,0-4,1465,2019
F,0,,0,October,0-4,1440,2019
F,0,,0,December,0-4,1141,2020
F,0,,0,January,0-4,1171,2021
F,0,,0,February,0-4,1085,2021
F,0,,0,March,0-4,1223,2021
F,0,,0,April,0-4,1186,2021
F,0,,0,May,0-4,1240,2021
F,0,,0,June,0-4,1188,2021
M,1,astrazeneca,0,March,50-59,339,2021
M,1,astrazeneca,0,April,50-59,414,2021
M,1,astrazeneca,0,May,50-59,398,2021
M,1,astrazeneca,0,June,50-59,289,2021
M,0,,0,February,18-24,2503,2020
M,0,,0,March,18-24,2674,2020
